Отметка времени;Что бы вы хотели прямо сейчас?;Вы хотите чтобы напиток: ;Кофеин для вас—это…;Какой уровень сладости вам комфортен?;Какое молоко вы предпочитаете?;Объём(если предпочитаете конкретный-укажите);Вам больше нравится:;Любите ли вы чай?;Газированный напиток?;Сколько льда вы предпочитаете в прохладительных напитках?;Как вы относитесь к необычным сочетаниям?;Напиток
17.05.2026 0:22:57;Освежающее;Удивил;Не желательно;Умеренно сладкий;Любое;Большой;Ягодные ноты, Фруктовые ноты, Сладкие специи, Цветочные ноты;Чёрный, Фруктовый;Совсем без газа;Мало льда;Люблю экспериментировать;Ягодный фреш
22.06.2026 18:44:27;Освежающее;Остудил;Не желательно;Умеренно сладкий;Любое;Большой (более 350 мл);Фруктовые ноты;Молочный улун;Совсем без газа;Мало льда;Люблю экзотику;Освежающий лимонад
22.06.2026 18:47:12;Расслабляющее;Остудил;Не желательно;Умеренно сладкий;Обычное;Большой (более 350 мл);Ореховые ноты;Молочный улун;Совсем без газа;Мало льда;Люблю экзотику;Молочный улун с мёдом
22.06.2026 18:48:03;Расслабляющее;Согрел;Желательно, но не принципиально;Предпочитаю несладкие напитки или минимум сиропа;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Большой (более 350 мл);Цветочные ноты;Молочный улун;Совсем без газа;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Молочный улун с мёдом
22.06.2026 18:54:30;Освежающее;Остудил;Желательно, но не принципиально;Умеренно сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Средний (200-350 мл);Ягодные ноты;Травяной (ромашка, мята и т.п.);Да, сильно газированный;Много льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
22.06.2026 19:02:50;Расслабляющее;Удивил;Не желательно;Умеренно сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Средний (200-350 мл);Ореховые ноты;Молочный улун;Совсем без газа;Мало льда;Только классика;Молочный улун с мёдом
22.06.2026 19:03:06;Освежающее;Остудил;Не желательно;Умеренно сладкий;Обычное;Большой (более 350 мл);Ягодные ноты;Молочный улун;Да, сильно газированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
22.06.2026 19:33:33;Бодрящее;Удивил;Не желательно;Умеренно сладкий;Обычное;Средний (200-350 мл);Ягодные ноты;Зелёный;Слабогазированный;Нет льда;Люблю экзотику;Ягодный фреш
22.06.2026 19:46:54;Освежающее;Удивил;Не желательно;Умеренно сладкий;Обычное;Большой (более 350 мл);Ореховые ноты;Молочный улун;Совсем без газа;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ореховый латте
22.06.2026 19:51:09;Бодрящее;Согрел;Не желательно;Умеренно сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Средний (200-350 мл);Ореховые ноты;Зелёный;Совсем без газа;Много льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ореховый латте
22.06.2026 20:23:13;Освежающее;Согрел;Желательно, но не принципиально;Умеренно сладкий;Любое;Средний (200-350 мл);Ягодные ноты;Чёрный;Да, сильно газированный;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
22.06.2026 21:48:17;Расслабляющее;Удивил;Не желательно;Предпочитаю несладкие напитки или минимум сиропа;Обычное;Средний (200-350 мл);Ягодные ноты;Зелёный;Совсем без газа;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 1:38:13;Бодрящее;Согрел;Желательно, но не принципиально;Умеренно сладкий;Обычное;Большой (более 350 мл);Фруктовые ноты;Чёрный;Совсем без газа;Нет льда;Люблю экзотику;Освежающий лимонад
23.06.2026 9:26:03;Освежающее;Удивил;Не желательно;Предпочитаю несладкие напитки или минимум сиропа;Любое;Большой (более 350 мл);Фруктовые ноты;Молочный улун;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 11:36:19;Бодрящее;Остудил;Не желательно;Сладкий;Любое;Большой (более 350 мл);Фруктовые ноты;Чёрный;Да, сильно газированный;Мало льда;Люблю экзотику;Освежающий лимонад
23.06.2026 11:44:48;Бодрящее;Удивил;Желательно, но не принципиально;Умеренно сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Большой (более 350 мл);Ягодные ноты;Чёрный;Слабогазированный;Много льда;Люблю экзотику;Ягодный фреш
23.06.2026 11:47:28;Освежающее;Остудил;Желательно, но не принципиально;Предпочитаю несладкие напитки или минимум сиропа;Любое;Большой (более 350 мл);Ягодные ноты;Без чая;Слабогазированный;Много льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 11:53:50;Освежающее;Остудил;Не желательно;Умеренно сладкий;Обычное;Средний (200-350 мл);Ореховые ноты;Чёрный;Да, сильно газированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
23.06.2026 11:54:55;Освежающее;Удивил;Желательно, но не принципиально;Умеренно сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Большой (более 350 мл);Ягодные ноты;Зелёный;Совсем без газа;Мало льда;Люблю экзотику;Ягодный фреш
23.06.2026 11:56:18;Освежающее;Остудил;Не желательно;Умеренно сладкий;Любое;Средний (200-350 мл);Фруктовые ноты;Без чая;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 11:56:53;Освежающее;Остудил;Обязательно;Умеренно сладкий;Обычное;Средний (200-350 мл);Ореховые ноты;Молочный улун;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ореховый латте
23.06.2026 11:58:35;Освежающее;Удивил;Желательно, но не принципиально;Умеренно сладкий;Любое;Средний (200-350 мл);Ягодные ноты;Чёрный;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
23.06.2026 12:00:01;Бодрящее;Согрел;Желательно, но не принципиально;Умеренно сладкий;Обычное;Средний (200-350 мл);Ореховые ноты;Травяной (ромашка, мята и т.п.);Совсем без газа;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ореховый латте
23.06.2026 12:00:19;Освежающее;Удивил;Не желательно;Умеренно сладкий;Обычное;Средний (200-350 мл);Ягодные ноты;Зелёный;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
23.06.2026 12:13:08;Освежающее;Удивил;Не желательно;Сладкий;Обычное;Маленький (до 200 мл);Цветочные ноты;Чёрный;Да, сильно газированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
23.06.2026 12:33:49;Освежающее;Остудил;Обязательно;Предпочитаю несладкие напитки или минимум сиропа;Любое;Средний (200-350 мл);Ягодные ноты;Зелёный;Слабогазированный;Много льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 12:50:16;Освежающее;Остудил;Желательно, но не принципиально;Умеренно сладкий;Любое;Большой (более 350 мл);Цветочные ноты;Без чая;Слабогазированный;Мало льда;Люблю экзотику;Освежающий лимонад
23.06.2026 13:52:00;Расслабляющее;Удивил;Желательно, но не принципиально;Умеренно сладкий;Обычное;Средний (200-350 мл);Ягодные ноты;Молочный улун;Да, сильно газированный;Много льда;Люблю экзотику;Ягодный фреш
23.06.2026 15:30:24;Освежающее;Удивил;Не желательно;Умеренно сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Большой (более 350 мл);Ореховые ноты;Травяной (ромашка, мята и т.п.);Совсем без газа;Мало льда;Люблю экзотику;Ореховый латте
23.06.2026 15:32:08;Освежающее;Остудил;Не желательно;Умеренно сладкий;Обычное;Средний (200-350 мл);Ягодные ноты;Зелёный;Совсем без газа;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
23.06.2026 15:32:40;Освежающее;Остудил;Не желательно;Умеренно сладкий;Обычное;Большой (более 350 мл);Ягодные ноты;Травяной (ромашка, мята и т.п.);Слабогазированный;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
23.06.2026 15:34:20;Освежающее;Остудил;Не желательно;Умеренно сладкий;Любое;Большой (более 350 мл);Ягодные ноты;Зелёный;Слабогазированный;Много льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
23.06.2026 15:35:11;Освежающее;Остудил;Желательно, но не принципиально;Предпочитаю несладкие напитки или минимум сиропа;Обычное;Средний (200-350 мл);Цветочные ноты;Травяной (ромашка, мята и т.п.);Совсем без газа;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 15:35:35;Освежающее;Удивил;Желательно, но не принципиально;Предпочитаю несладкие напитки или минимум сиропа;Любое;Большой (более 350 мл);Цветочные ноты;Травяной (ромашка, мята и т.п.);Совсем без газа;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 15:36:57;Освежающее;Удивил;Желательно, но не принципиально;Предпочитаю несладкие напитки или минимум сиропа;Без молока;Средний (200-350 мл);Ореховые ноты;Чёрный;Совсем без газа;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ореховый латте
23.06.2026 15:39:54;Освежающее;Остудил;Не желательно;Умеренно сладкий;Обычное;Большой (более 350 мл);Фруктовые ноты;Зелёный;Слабогазированный;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 15:54:58;Освежающее;Остудил;Желательно, но не принципиально;Сладкий;Любое;Большой (более 350 мл);Цветочные ноты;Без чая;Да, сильно газированный;Мало льда;Люблю экзотику;Манго-маракуйя лимонад
23.06.2026 15:59:16;Освежающее;Остудил;Не желательно;Умеренно сладкий;Любое;Средний (200-350 мл);Ягодные ноты;Чёрный;Да, сильно газированный;Много льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
23.06.2026 15:59:36;Расслабляющее;Согрел;Не желательно;Предпочитаю несладкие напитки или минимум сиропа;Без молока;Маленький (до 200 мл);Ягодные ноты;Зелёный;Совсем без газа;Нет льда;Только классика;Освежающий лимонад
23.06.2026 16:02:49;Освежающее;Удивил;Не желательно;Предпочитаю несладкие напитки или минимум сиропа;Обычное;Большой (более 350 мл);Ягодные ноты;Зелёный;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 16:04:56;Освежающее;Удивил;Желательно, но не принципиально;Умеренно сладкий;Любое;Средний (200-350 мл);Цветочные ноты;Травяной (ромашка, мята и т.п.);Совсем без газа;Мало льда;Люблю экзотику;Освежающий лимонад
23.06.2026 16:40:53;Освежающее;Удивил;Не желательно;Сладкий;Обычное;Средний (200-350 мл);Ягодные ноты;Зелёный;Да, сильно газированный;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
23.06.2026 16:59:59;Бодрящее;Остудил;Желательно, но не принципиально;Сладкий;Обычное;Большой (более 350 мл);Ягодные ноты;Чёрный;Да, сильно газированный;Нет льда;Только классика;Ягодный фреш
23.06.2026 17:03:07;Бодрящее;Удивил;Желательно, но не принципиально;Умеренно сладкий;Любое;Большой (более 350 мл);Ягодные ноты;Травяной (ромашка, мята и т.п.);Слабогазированный;Нет льда;Люблю экзотику;Ягодный фреш
23.06.2026 17:11:50;Бодрящее;Удивил;Желательно, но не принципиально;Умеренно сладкий;Обычное;Большой (более 350 мл);Ягодные ноты;Зелёный;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
23.06.2026 17:47:46;Бодрящее;Остудил;Обязательно;Предпочитаю несладкие напитки или минимум сиропа;Обычное;Средний (200-350 мл);Ягодные ноты;Молочный улун;Совсем без газа;Мало льда;Люблю экзотику;Классический эспрессо
23.06.2026 18:43:50;Освежающее;Удивил;Желательно, но не принципиально;Умеренно сладкий;Обычное;Большой (более 350 мл);Ягодные ноты;Зелёный;Совсем без газа;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
23.06.2026 19:52:03;Расслабляющее;Удивил;Желательно, но не принципиально;Сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Большой (более 350 мл);Ореховые ноты;Без чая;Слабогазированный;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 21:02:57;Бодрящее;Удивил;Желательно, но не принципиально;Умеренно сладкий;Любое;Большой (более 350 мл);Ягодные ноты;Травяной (ромашка, мята и т.п.);Слабогазированный;Нет льда;Люблю экзотику;Ягодный фреш
23.06.2026 21:47:10;Расслабляющее;Удивил;Обязательно;Умеренно сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Средний (200-350 мл);Ореховые ноты;Травяной (ромашка, мята и т.п.);Совсем без газа;Нет льда;Люблю экзотику;Мятный травяной чай
23.06.2026 22:00:58;Расслабляющее;Остудил;Обязательно;Сладкий;Обычное;Большой (более 350 мл);Ореховые ноты;Чёрный;Да, сильно газированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 22:08:47;Бодрящее;Удивил;Желательно, но не принципиально;Умеренно сладкий;Обычное;Средний (200-350 мл);Ягодные ноты;Чёрный;Да, сильно газированный;Мало льда;Люблю экзотику;Ягодный фреш
23.06.2026 22:19:39;Расслабляющее;Удивил;Не желательно;Умеренно сладкий;Без молока;Средний (200-350 мл);Ягодные ноты;Зелёный;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
24.06.2026 8:08:44;Освежающее;Остудил;Желательно, но не принципиально;Умеренно сладкий;Без молока;Большой (более 350 мл);Ягодные ноты;Чёрный;Да, сильно газированный;Много льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
17.05.2026 0:22:57;Бодрящее;Удивил;Не желательно;Сладкий;Любое;Большой;Ягодные ноты, Фруктовые ноты, Сладкие специи, Цветочные ноты;Чёрный, Фруктовый;Слабогазированный;Мало льда;Люблю экспериментировать;Ягодный фреш
17.05.2026 0:22:57;Освежающее;Удивил;Не желательно;Умеренно сладкий;Любое;Большой;Ягодные ноты, Фруктовые ноты, Сладкие специи, Цветочные ноты;Чёрный, Фруктовый;Совсем без газа;Мало льда;Люблю экспериментировать;Ягодный фреш
17.05.2026 0:22:57;Освежающее;Удивил;Не желательно;Умеренно сладкий;Любое;Большой;Ягодные ноты, Фруктовые ноты, Сладкие специи, Цветочные ноты;Чёрный, Фруктовый;Совсем без газа;Мало льда;Люблю экспериментировать;Ягодный фреш
22.06.2026 18:44:27;Бодрящее;Остудил;Не желательно;Умеренно сладкий;Любое;Большой (более 350 мл);Фруктовые ноты;Чёрный;Совсем без газа;Мало льда;Люблю экзотику;Освежающий лимонад
22.06.2026 18:44:27;Бодрящее;Остудил;Не желательно;Умеренно сладкий;Любое;Большой (более 350 мл);Фруктовые ноты;Чёрный;Совсем без газа;Мало льда;Люблю экзотику;Освежающий лимонад
22.06.2026 18:44:27;Бодрящее;Остудил;Не желательно;Умеренно сладкий;Любое;Большой (более 350 мл);Фруктовые ноты;Молочный улун;Совсем без газа;Мало льда;Люблю экзотику;Освежающий лимонад
22.06.2026 18:47:12;Уютное;Остудил;Не желательно;Сладкий;Обычное;Большой (более 350 мл);Ореховые ноты;Молочный улун;Слабогазированный;Мало льда;Люблю экзотику;Молочный улун с мёдом
22.06.2026 18:47:12;Спокойное;Остудил;Не желательно;Умеренно сладкий;Обычное;Большой (более 350 мл);Ореховые ноты;Молочный улун;Слабогазированный;Мало льда;Люблю экзотику;Молочный улун с мёдом
22.06.2026 18:47:12;Уютное;Остудил;Не желательно;Умеренно сладкий;Обычное;Большой (более 350 мл);Ореховые ноты;Молочный улун;Совсем без газа;Мало льда;Люблю экзотику;Молочный улун с мёдом
22.06.2026 18:48:03;Уютное;Согрел;Желательно, но не принципиально;Умеренно сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Большой (более 350 мл);Цветочные ноты;Чёрный;Совсем без газа;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Молочный улун с мёдом
22.06.2026 18:48:03;Уютное;Согрел;Желательно, но не принципиально;Предпочитаю несладкие;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Большой (более 350 мл);Цветочные ноты;Чёрный;Слабогазированный;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Молочный улун с мёдом
22.06.2026 18:48:03;Уютное;Согрел;Желательно, но не принципиально;Предпочитаю несладкие;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Большой (более 350 мл);Цветочные ноты;Чёрный;Совсем без газа;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Молочный улун с мёдом
22.06.2026 18:54:30;Освежающее;Остудил;Желательно, но не принципиально;Сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Средний (200-350 мл);Ягодные ноты;Травяной;Слабогазированный;Много льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
22.06.2026 18:54:30;Освежающее;Остудил;Желательно, но не принципиально;Умеренно сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Средний (200-350 мл);Ягодные ноты;Чёрный;Слабогазированный;Много льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
22.06.2026 18:54:30;Освежающее;Остудил;Желательно, но не принципиально;Сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Средний (200-350 мл);Ягодные ноты;Травяной;Да, сильно газированный;Много льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
22.06.2026 19:02:50;Уютное;Удивил;Не желательно;Умеренно сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Средний (200-350 мл);Ореховые ноты;Зелёный;Слабогазированный;Мало льда;Только классика;Молочный улун с мёдом
22.06.2026 19:02:50;Уютное;Удивил;Не желательно;Сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Средний (200-350 мл);Ореховые ноты;Молочный улун;Совсем без газа;Мало льда;Только классика;Молочный улун с мёдом
22.06.2026 19:02:50;Спокойное;Удивил;Не желательно;Сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Средний (200-350 мл);Ореховые ноты;Молочный улун;Совсем без газа;Мало льда;Только классика;Молочный улун с мёдом
22.06.2026 19:03:06;Бодрящее;Остудил;Не желательно;Сладкий;Обычное;Большой (более 350 мл);Ягодные ноты;Молочный улун;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
22.06.2026 19:03:06;Освежающее;Остудил;Не желательно;Сладкий;Обычное;Большой (более 350 мл);Ягодные ноты;Чёрный;Да, сильно газированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
22.06.2026 19:03:06;Освежающее;Остудил;Не желательно;Сладкий;Обычное;Большой (более 350 мл);Ягодные ноты;Молочный улун;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
22.06.2026 19:33:33;Бодрящее;Удивил;Не желательно;Сладкий;Обычное;Средний (200-350 мл);Ягодные ноты;Травяной;Да, сильно газированный;Нет льда;Люблю экзотику;Ягодный фреш
22.06.2026 19:33:33;Освежающее;Удивил;Не желательно;Сладкий;Обычное;Средний (200-350 мл);Ягодные ноты;Чёрный;Да, сильно газированный;Нет льда;Люблю экзотику;Ягодный фреш
22.06.2026 19:33:33;Освежающее;Удивил;Не желательно;Сладкий;Обычное;Средний (200-350 мл);Ягодные ноты;Травяной;Да, сильно газированный;Нет льда;Люблю экзотику;Ягодный фреш
22.06.2026 19:46:54;Освежающее;Удивил;Не желательно;Сладкий;Обычное;Большой (более 350 мл);Ореховые ноты;Зелёный;Совсем без газа;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ореховый латте
22.06.2026 19:46:54;Бодрящее;Удивил;Не желательно;Умеренно сладкий;Обычное;Большой (более 350 мл);Ореховые ноты;Молочный улун;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ореховый латте
22.06.2026 19:46:54;Бодрящее;Удивил;Не желательно;Умеренно сладкий;Обычное;Большой (более 350 мл);Ореховые ноты;Зелёный;Совсем без газа;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ореховый латте
22.06.2026 19:51:09;Бодрящее;Согрел;Не желательно;Сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Средний (200-350 мл);Ореховые ноты;Зелёный;Совсем без газа;Много льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ореховый латте
22.06.2026 19:51:09;Бодрящее;Согрел;Не желательно;Умеренно сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Средний (200-350 мл);Ореховые ноты;Травяной;Совсем без газа;Много льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ореховый латте
22.06.2026 19:51:09;Освежающее;Согрел;Не желательно;Сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Средний (200-350 мл);Ореховые ноты;Зелёный;Совсем без газа;Много льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ореховый латте
22.06.2026 20:23:13;Освежающее;Согрел;Желательно, но не принципиально;Умеренно сладкий;Любое;Средний (200-350 мл);Ягодные ноты;Чёрный;Да, сильно газированный;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
22.06.2026 20:23:13;Бодрящее;Согрел;Желательно, но не принципиально;Умеренно сладкий;Любое;Средний (200-350 мл);Ягодные ноты;Молочный улун;Слабогазированный;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
22.06.2026 20:23:13;Бодрящее;Согрел;Желательно, но не принципиально;Умеренно сладкий;Любое;Средний (200-350 мл);Ягодные ноты;Зелёный;Да, сильно газированный;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
22.06.2026 21:48:17;Спокойное;Удивил;Не желательно;Предпочитаю несладкие;Обычное;Средний (200-350 мл);Ягодные ноты;Зелёный;Совсем без газа;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
22.06.2026 21:48:17;Спокойное;Удивил;Не желательно;Умеренно сладкий;Обычное;Средний (200-350 мл);Ягодные ноты;Травяной;Совсем без газа;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
22.06.2026 21:48:17;Уютное;Удивил;Не желательно;Умеренно сладкий;Обычное;Средний (200-350 мл);Ягодные ноты;Травяной;Слабогазированный;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 1:38:13;Освежающее;Согрел;Желательно, но не принципиально;Сладкий;Обычное;Большой (более 350 мл);Фруктовые ноты;Чёрный;Совсем без газа;Нет льда;Люблю экзотику;Освежающий лимонад
23.06.2026 1:38:13;Освежающее;Согрел;Желательно, но не принципиально;Сладкий;Обычное;Большой (более 350 мл);Фруктовые ноты;Зелёный;Совсем без газа;Нет льда;Люблю экзотику;Освежающий лимонад
23.06.2026 1:38:13;Освежающее;Согрел;Желательно, но не принципиально;Сладкий;Обычное;Большой (более 350 мл);Фруктовые ноты;Чёрный;Совсем без газа;Нет льда;Люблю экзотику;Освежающий лимонад
23.06.2026 9:26:03;Освежающее;Удивил;Не желательно;Предпочитаю несладкие;Любое;Большой (более 350 мл);Фруктовые ноты;Молочный улун;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 9:26:03;Бодрящее;Удивил;Не желательно;Умеренно сладкий;Любое;Большой (более 350 мл);Фруктовые ноты;Зелёный;Да, сильно газированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 9:26:03;Освежающее;Удивил;Не желательно;Предпочитаю несладкие;Любое;Большой (более 350 мл);Фруктовые ноты;Зелёный;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 11:36:19;Освежающее;Остудил;Не желательно;Умеренно сладкий;Любое;Большой (более 350 мл);Фруктовые ноты;Молочный улун;Слабогазированный;Мало льда;Люблю экзотику;Освежающий лимонад
23.06.2026 11:36:19;Освежающее;Остудил;Не желательно;Умеренно сладкий;Любое;Большой (более 350 мл);Фруктовые ноты;Молочный улун;Да, сильно газированный;Мало льда;Люблю экзотику;Освежающий лимонад
23.06.2026 11:36:19;Освежающее;Остудил;Не желательно;Умеренно сладкий;Любое;Большой (более 350 мл);Фруктовые ноты;Молочный улун;Слабогазированный;Мало льда;Люблю экзотику;Освежающий лимонад
23.06.2026 11:44:48;Бодрящее;Удивил;Желательно, но не принципиально;Сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Большой (более 350 мл);Ягодные ноты;Молочный улун;Слабогазированный;Много льда;Люблю экзотику;Ягодный фреш
23.06.2026 11:44:48;Бодрящее;Удивил;Желательно, но не принципиально;Сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Большой (более 350 мл);Ягодные ноты;Чёрный;Слабогазированный;Много льда;Люблю экзотику;Ягодный фреш
23.06.2026 11:44:48;Освежающее;Удивил;Желательно, но не принципиально;Сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Большой (более 350 мл);Ягодные ноты;Чёрный;Слабогазированный;Много льда;Люблю экзотику;Ягодный фреш
23.06.2026 11:47:28;Освежающее;Остудил;Желательно, но не принципиально;Умеренно сладкий;Любое;Большой (более 350 мл);Ягодные ноты;Травяной;Да, сильно газированный;Много льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 11:47:28;Бодрящее;Остудил;Желательно, но не принципиально;Умеренно сладкий;Любое;Большой (более 350 мл);Ягодные ноты;Без чая;Слабогазированный;Много льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
