Отметка времени;Что бы вы хотели прямо сейчас?;Вы хотите чтобы напиток: ;Кофеин для вас—это…;Какой уровень сладости вам комфортен?;Какое молоко вы предпочитаете?;Объём(если предпочитаете конкретный-укажите);Вам больше нравится:;Любите ли вы чай?;Газированный напиток?;Сколько льда вы предпочитаете в прохладительных напитках?;Как вы относитесь к необычным сочетаниям?;Напиток
23.06.2026 11:47:28;Бодрящее;Остудил;Желательно, но не принципиально;Умеренно сладкий;Любое;Большой (более 350 мл);Ягодные ноты;Травяной;Да, сильно газированный;Много льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 11:53:50;Бодрящее;Остудил;Не желательно;Умеренно сладкий;Обычное;Средний (200-350 мл);Ореховые ноты;Зелёный;Да, сильно газированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
23.06.2026 11:53:50;Бодрящее;Остудил;Не желательно;Сладкий;Обычное;Средний (200-350 мл);Ореховые ноты;Чёрный;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
23.06.2026 11:53:50;Бодрящее;Остудил;Не желательно;Сладкий;Обычное;Средний (200-350 мл);Ореховые ноты;Молочный улун;Да, сильно газированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
23.06.2026 11:54:55;Бодрящее;Удивил;Желательно, но не принципиально;Умеренно сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Большой (более 350 мл);Ягодные ноты;Травяной;Слабогазированный;Мало льда;Люблю экзотику;Ягодный фреш
23.06.2026 11:54:55;Освежающее;Удивил;Желательно, но не принципиально;Умеренно сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Большой (более 350 мл);Ягодные ноты;Зелёный;Совсем без газа;Мало льда;Люблю экзотику;Ягодный фреш
23.06.2026 11:54:55;Бодрящее;Удивил;Желательно, но не принципиально;Сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Большой (более 350 мл);Ягодные ноты;Зелёный;Совсем без газа;Мало льда;Люблю экзотику;Ягодный фреш
23.06.2026 11:56:18;Освежающее;Остудил;Не желательно;Сладкий;Любое;Средний (200-350 мл);Фруктовые ноты;Травяной;Да, сильно газированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 11:56:18;Бодрящее;Остудил;Не желательно;Сладкий;Любое;Средний (200-350 мл);Фруктовые ноты;Травяной;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 11:56:18;Освежающее;Остудил;Не желательно;Умеренно сладкий;Любое;Средний (200-350 мл);Фруктовые ноты;Без чая;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 11:56:53;Бодрящее;Остудил;Обязательно;Сладкий;Обычное;Средний (200-350 мл);Ореховые ноты;Зелёный;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ореховый латте
23.06.2026 11:56:53;Бодрящее;Остудил;Обязательно;Сладкий;Обычное;Средний (200-350 мл);Ореховые ноты;Чёрный;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ореховый латте
23.06.2026 11:56:53;Бодрящее;Остудил;Обязательно;Сладкий;Обычное;Средний (200-350 мл);Ореховые ноты;Чёрный;Да, сильно газированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ореховый латте
23.06.2026 11:58:35;Бодрящее;Удивил;Желательно, но не принципиально;Сладкий;Любое;Средний (200-350 мл);Ягодные ноты;Чёрный;Да, сильно газированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
23.06.2026 11:58:35;Освежающее;Удивил;Желательно, но не принципиально;Умеренно сладкий;Любое;Средний (200-350 мл);Ягодные ноты;Зелёный;Да, сильно газированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
23.06.2026 11:58:35;Освежающее;Удивил;Желательно, но не принципиально;Умеренно сладкий;Любое;Средний (200-350 мл);Ягодные ноты;Чёрный;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
23.06.2026 12:00:01;Освежающее;Согрел;Желательно, но не принципиально;Умеренно сладкий;Обычное;Средний (200-350 мл);Ореховые ноты;Мятный;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ореховый латте
23.06.2026 12:00:01;Освежающее;Согрел;Желательно, но не принципиально;Умеренно сладкий;Обычное;Средний (200-350 мл);Ореховые ноты;Чёрный;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ореховый латте
23.06.2026 12:00:01;Освежающее;Согрел;Желательно, но не принципиально;Умеренно сладкий;Обычное;Средний (200-350 мл);Ореховые ноты;Чёрный;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ореховый латте
23.06.2026 12:00:19;Бодрящее;Удивил;Не желательно;Умеренно сладкий;Обычное;Средний (200-350 мл);Ягодные ноты;Чёрный;Да, сильно газированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
23.06.2026 12:00:19;Освежающее;Удивил;Не желательно;Умеренно сладкий;Обычное;Средний (200-350 мл);Ягодные ноты;Травяной;Да, сильно газированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
23.06.2026 12:00:19;Бодрящее;Удивил;Не желательно;Сладкий;Обычное;Средний (200-350 мл);Ягодные ноты;Зелёный;Да, сильно газированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
23.06.2026 12:13:08;Освежающее;Удивил;Не желательно;Умеренно сладкий;Обычное;Маленький (до 200 мл);Цветочные ноты;Зелёный;Да, сильно газированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
23.06.2026 12:13:08;Бодрящее;Удивил;Не желательно;Умеренно сладкий;Обычное;Маленький (до 200 мл);Цветочные ноты;Чёрный;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
23.06.2026 12:13:08;Бодрящее;Удивил;Не желательно;Сладкий;Обычное;Маленький (до 200 мл);Цветочные ноты;Молочный улун;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
23.06.2026 12:33:49;Бодрящее;Остудил;Обязательно;Предпочитаю несладкие;Любое;Средний (200-350 мл);Ягодные ноты;Травяной;Да, сильно газированный;Много льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 12:33:49;Освежающее;Остудил;Обязательно;Умеренно сладкий;Любое;Средний (200-350 мл);Ягодные ноты;Зелёный;Да, сильно газированный;Много льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 12:33:49;Бодрящее;Остудил;Обязательно;Предпочитаю несладкие;Любое;Средний (200-350 мл);Ягодные ноты;Чёрный;Да, сильно газированный;Много льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 12:50:16;Освежающее;Остудил;Желательно, но не принципиально;Сладкий;Любое;Большой (более 350 мл);Цветочные ноты;Травяной;Слабогазированный;Мало льда;Люблю экзотику;Освежающий лимонад
23.06.2026 12:50:16;Освежающее;Остудил;Желательно, но не принципиально;Сладкий;Любое;Большой (более 350 мл);Цветочные ноты;Без чая;Да, сильно газированный;Мало льда;Люблю экзотику;Освежающий лимонад
23.06.2026 12:50:16;Освежающее;Остудил;Желательно, но не принципиально;Сладкий;Любое;Большой (более 350 мл);Цветочные ноты;Травяной;Слабогазированный;Мало льда;Люблю экзотику;Освежающий лимонад
23.06.2026 13:52:00;Уютное;Удивил;Желательно, но не принципиально;Умеренно сладкий;Обычное;Средний (200-350 мл);Ягодные ноты;Зелёный;Слабогазированный;Много льда;Люблю экзотику;Ягодный фреш
23.06.2026 13:52:00;Уютное;Удивил;Желательно, но не принципиально;Сладкий;Обычное;Средний (200-350 мл);Ягодные ноты;Чёрный;Слабогазированный;Много льда;Люблю экзотику;Ягодный фреш
23.06.2026 13:52:00;Уютное;Удивил;Желательно, но не принципиально;Умеренно сладкий;Обычное;Средний (200-350 мл);Ягодные ноты;Чёрный;Слабогазированный;Много льда;Люблю экзотику;Ягодный фреш
23.06.2026 15:30:24;Бодрящее;Удивил;Не желательно;Сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Большой (более 350 мл);Ореховые ноты;Чёрный;Совсем без газа;Мало льда;Люблю экзотику;Ореховый латте
23.06.2026 15:30:24;Освежающее;Удивил;Не желательно;Умеренно сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Большой (более 350 мл);Ореховые ноты;Травяной;Слабогазированный;Мало льда;Люблю экзотику;Ореховый латте
23.06.2026 15:30:24;Бодрящее;Удивил;Не желательно;Умеренно сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Большой (более 350 мл);Ореховые ноты;Травяной;Слабогазированный;Мало льда;Люблю экзотику;Ореховый латте
23.06.2026 15:32:08;Бодрящее;Остудил;Не желательно;Умеренно сладкий;Обычное;Средний (200-350 мл);Ягодные ноты;Чёрный;Слабогазированный;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
23.06.2026 15:32:08;Освежающее;Остудил;Не желательно;Умеренно сладкий;Обычное;Средний (200-350 мл);Ягодные ноты;Зелёный;Слабогазированный;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
23.06.2026 15:32:08;Освежающее;Остудил;Не желательно;Умеренно сладкий;Обычное;Средний (200-350 мл);Ягодные ноты;Травяной;Совсем без газа;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
23.06.2026 15:32:40;Освежающее;Остудил;Не желательно;Умеренно сладкий;Обычное;Большой (более 350 мл);Ягодные ноты;Чёрный;Да, сильно газированный;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
23.06.2026 15:32:40;Освежающее;Остудил;Не желательно;Сладкий;Обычное;Большой (более 350 мл);Ягодные ноты;Чёрный;Да, сильно газированный;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
23.06.2026 15:32:40;Освежающее;Остудил;Не желательно;Умеренно сладкий;Обычное;Большой (более 350 мл);Ягодные ноты;Чёрный;Слабогазированный;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
23.06.2026 15:34:20;Бодрящее;Остудил;Не желательно;Умеренно сладкий;Любое;Большой (более 350 мл);Ягодные ноты;Травяной;Слабогазированный;Много льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
23.06.2026 15:34:20;Освежающее;Остудил;Не желательно;Умеренно сладкий;Любое;Большой (более 350 мл);Ягодные ноты;Зелёный;Слабогазированный;Много льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
23.06.2026 15:34:20;Освежающее;Остудил;Не желательно;Сладкий;Любое;Большой (более 350 мл);Ягодные ноты;Чёрный;Да, сильно газированный;Много льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
23.06.2026 15:35:11;Освежающее;Остудил;Желательно, но не принципиально;Умеренно сладкий;Обычное;Средний (200-350 мл);Цветочные ноты;Мятный;Совсем без газа;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 15:35:11;Освежающее;Остудил;Желательно, но не принципиально;Умеренно сладкий;Обычное;Средний (200-350 мл);Цветочные ноты;Травяной;Совсем без газа;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 15:35:11;Освежающее;Остудил;Желательно, но не принципиально;Умеренно сладкий;Обычное;Средний (200-350 мл);Цветочные ноты;Чёрный;Совсем без газа;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 15:35:35;Бодрящее;Удивил;Желательно, но не принципиально;Предпочитаю несладкие;Любое;Большой (более 350 мл);Цветочные ноты;Мятный;Совсем без газа;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 15:35:35;Освежающее;Удивил;Желательно, но не принципиально;Предпочитаю несладкие;Любое;Большой (более 350 мл);Цветочные ноты;Чёрный;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 15:35:35;Освежающее;Удивил;Желательно, но не принципиально;Предпочитаю несладкие;Любое;Большой (более 350 мл);Цветочные ноты;Чёрный;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 15:36:57;Освежающее;Удивил;Желательно, но не принципиально;Предпочитаю несладкие;Без молока;Средний (200-350 мл);Ореховые ноты;Молочный улун;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ореховый латте
23.06.2026 15:36:57;Бодрящее;Удивил;Желательно, но не принципиально;Предпочитаю несладкие;Без молока;Средний (200-350 мл);Ореховые ноты;Зелёный;Совсем без газа;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ореховый латте
23.06.2026 15:36:57;Бодрящее;Удивил;Желательно, но не принципиально;Умеренно сладкий;Без молока;Средний (200-350 мл);Ореховые ноты;Чёрный;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ореховый латте
23.06.2026 15:39:54;Бодрящее;Остудил;Не желательно;Умеренно сладкий;Обычное;Большой (более 350 мл);Фруктовые ноты;Зелёный;Да, сильно газированный;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 15:39:54;Бодрящее;Остудил;Не желательно;Сладкий;Обычное;Большой (более 350 мл);Фруктовые ноты;Зелёный;Да, сильно газированный;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 15:39:54;Бодрящее;Остудил;Не желательно;Умеренно сладкий;Обычное;Большой (более 350 мл);Фруктовые ноты;Чёрный;Да, сильно газированный;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 15:54:58;Бодрящее;Остудил;Желательно, но не принципиально;Сладкий;Любое;Большой (более 350 мл);Цветочные ноты;Травяной;Слабогазированный;Мало льда;Люблю экзотику;Манго-маракуйя лимонад
23.06.2026 15:54:58;Бодрящее;Остудил;Желательно, но не принципиально;Сладкий;Любое;Большой (более 350 мл);Цветочные ноты;Без чая;Слабогазированный;Мало льда;Люблю экзотику;Манго-маракуйя лимонад
23.06.2026 15:54:58;Бодрящее;Остудил;Желательно, но не принципиально;Сладкий;Любое;Большой (более 350 мл);Цветочные ноты;Без чая;Да, сильно газированный;Мало льда;Люблю экзотику;Манго-маракуйя лимонад
23.06.2026 15:59:16;Освежающее;Остудил;Не желательно;Умеренно сладкий;Любое;Средний (200-350 мл);Ягодные ноты;Чёрный;Слабогазированный;Много льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
23.06.2026 15:59:16;Бодрящее;Остудил;Не желательно;Умеренно сладкий;Любое;Средний (200-350 мл);Ягодные ноты;Молочный улун;Да, сильно газированный;Много льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
23.06.2026 15:59:16;Бодрящее;Остудил;Не желательно;Умеренно сладкий;Любое;Средний (200-350 мл);Ягодные ноты;Чёрный;Слабогазированный;Много льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
23.06.2026 15:59:36;Уютное;Согрел;Не желательно;Умеренно сладкий;Без молока;Маленький (до 200 мл);Ягодные ноты;Травяной;Совсем без газа;Нет льда;Только классика;Освежающий лимонад
23.06.2026 15:59:36;Спокойное;Согрел;Не желательно;Предпочитаю несладкие;Без молока;Маленький (до 200 мл);Ягодные ноты;Зелёный;Слабогазированный;Нет льда;Только классика;Освежающий лимонад
23.06.2026 15:59:36;Спокойное;Согрел;Не желательно;Умеренно сладкий;Без молока;Маленький (до 200 мл);Ягодные ноты;Зелёный;Слабогазированный;Нет льда;Только классика;Освежающий лимонад
23.06.2026 16:02:49;Бодрящее;Удивил;Не желательно;Умеренно сладкий;Обычное;Большой (более 350 мл);Ягодные ноты;Чёрный;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 16:02:49;Бодрящее;Удивил;Не желательно;Предпочитаю несладкие;Обычное;Большой (более 350 мл);Ягодные ноты;Травяной;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 16:02:49;Освежающее;Удивил;Не желательно;Умеренно сладкий;Обычное;Большой (более 350 мл);Ягодные ноты;Чёрный;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 16:04:56;Бодрящее;Удивил;Желательно, но не принципиально;Умеренно сладкий;Любое;Средний (200-350 мл);Цветочные ноты;Чёрный;Совсем без газа;Мало льда;Люблю экзотику;Освежающий лимонад
23.06.2026 16:04:56;Освежающее;Удивил;Желательно, но не принципиально;Умеренно сладкий;Любое;Средний (200-350 мл);Цветочные ноты;Мятный;Совсем без газа;Мало льда;Люблю экзотику;Освежающий лимонад
23.06.2026 16:04:56;Бодрящее;Удивил;Желательно, но не принципиально;Умеренно сладкий;Любое;Средний (200-350 мл);Цветочные ноты;Чёрный;Слабогазированный;Мало льда;Люблю экзотику;Освежающий лимонад
23.06.2026 16:40:53;Освежающее;Удивил;Не желательно;Сладкий;Обычное;Средний (200-350 мл);Ягодные ноты;Зелёный;Слабогазированный;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
23.06.2026 16:40:53;Освежающее;Удивил;Не желательно;Умеренно сладкий;Обычное;Средний (200-350 мл);Ягодные ноты;Чёрный;Слабогазированный;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
23.06.2026 16:40:53;Освежающее;Удивил;Не желательно;Сладкий;Обычное;Средний (200-350 мл);Ягодные ноты;Зелёный;Слабогазированный;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
23.06.2026 16:59:59;Освежающее;Остудил;Желательно, но не принципиально;Умеренно сладкий;Обычное;Большой (более 350 мл);Ягодные ноты;Зелёный;Да, сильно газированный;Нет льда;Только классика;Ягодный фреш
23.06.2026 16:59:59;Бодрящее;Остудил;Желательно, но не принципиально;Сладкий;Обычное;Большой (более 350 мл);Ягодные ноты;Зелёный;Да, сильно газированный;Нет льда;Только классика;Ягодный фреш
23.06.2026 16:59:59;Освежающее;Остудил;Желательно, но не принципиально;Сладкий;Обычное;Большой (более 350 мл);Ягодные ноты;Зелёный;Слабогазированный;Нет льда;Только классика;Ягодный фреш
23.06.2026 17:03:07;Освежающее;Удивил;Желательно, но не принципиально;Умеренно сладкий;Любое;Большой (более 350 мл);Ягодные ноты;Мятный;Да, сильно газированный;Нет льда;Люблю экзотику;Ягодный фреш
23.06.2026 17:03:07;Освежающее;Удивил;Желательно, но не принципиально;Умеренно сладкий;Любое;Большой (более 350 мл);Ягодные ноты;Мятный;Да, сильно газированный;Нет льда;Люблю экзотику;Ягодный фреш
23.06.2026 17:03:07;Бодрящее;Удивил;Желательно, но не принципиально;Сладкий;Любое;Большой (более 350 мл);Ягодные ноты;Чёрный;Слабогазированный;Нет льда;Люблю экзотику;Ягодный фреш
23.06.2026 17:11:50;Бодрящее;Удивил;Желательно, но не принципиально;Умеренно сладкий;Обычное;Большой (более 350 мл);Ягодные ноты;Зелёный;Да, сильно газированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
23.06.2026 17:11:50;Бодрящее;Удивил;Желательно, но не принципиально;Умеренно сладкий;Обычное;Большой (более 350 мл);Ягодные ноты;Травяной;Да, сильно газированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
23.06.2026 17:11:50;Бодрящее;Удивил;Желательно, но не принципиально;Умеренно сладкий;Обычное;Большой (более 350 мл);Ягодные ноты;Чёрный;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
23.06.2026 17:47:46;Бодрящее;Остудил;Обязательно;Умеренно сладкий;Обычное;Средний (200-350 мл);Ягодные ноты;Чёрный;Совсем без газа;Мало льда;Люблю экзотику;Классический эспрессо
23.06.2026 17:47:46;Бодрящее;Остудил;Обязательно;Умеренно сладкий;Обычное;Средний (200-350 мл);Ягодные ноты;Молочный улун;Совсем без газа;Мало льда;Люблю экзотику;Классический эспрессо
23.06.2026 17:47:46;Бодрящее;Остудил;Обязательно;Предпочитаю несладкие;Обычное;Средний (200-350 мл);Ягодные ноты;Зелёный;Слабогазированный;Мало льда;Люблю экзотику;Классический эспрессо
23.06.2026 18:43:50;Освежающее;Удивил;Желательно, но не принципиально;Сладкий;Обычное;Большой (более 350 мл);Ягодные ноты;Травяной;Совсем без газа;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
23.06.2026 18:43:50;Освежающее;Удивил;Желательно, но не принципиально;Умеренно сладкий;Обычное;Большой (более 350 мл);Ягодные ноты;Зелёный;Совсем без газа;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
23.06.2026 18:43:50;Освежающее;Удивил;Желательно, но не принципиально;Сладкий;Обычное;Большой (более 350 мл);Ягодные ноты;Чёрный;Совсем без газа;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
23.06.2026 19:52:03;Спокойное;Удивил;Желательно, но не принципиально;Сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Большой (более 350 мл);Ореховые ноты;Травяной;Слабогазированный;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 19:52:03;Уютное;Удивил;Желательно, но не принципиально;Умеренно сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Большой (более 350 мл);Ореховые ноты;Травяной;Да, сильно газированный;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 19:52:03;Уютное;Удивил;Желательно, но не принципиально;Сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Большой (более 350 мл);Ореховые ноты;Без чая;Слабогазированный;Нет льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 21:02:57;Освежающее;Удивил;Желательно, но не принципиально;Сладкий;Любое;Большой (более 350 мл);Ягодные ноты;Травяной;Слабогазированный;Нет льда;Люблю экзотику;Ягодный фреш
23.06.2026 21:02:57;Освежающее;Удивил;Желательно, но не принципиально;Умеренно сладкий;Любое;Большой (более 350 мл);Ягодные ноты;Травяной;Да, сильно газированный;Нет льда;Люблю экзотику;Ягодный фреш
23.06.2026 21:02:57;Бодрящее;Удивил;Желательно, но не принципиально;Сладкий;Любое;Большой (более 350 мл);Ягодные ноты;Травяной;Да, сильно газированный;Нет льда;Люблю экзотику;Ягодный фреш
23.06.2026 21:47:10;Уютное;Удивил;Обязательно;Умеренно сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Средний (200-350 мл);Ореховые ноты;Мятный;Совсем без газа;Нет льда;Люблю экзотику;Мятный травяной чай
23.06.2026 21:47:10;Спокойное;Удивил;Обязательно;Сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Средний (200-350 мл);Ореховые ноты;Мятный;Совсем без газа;Нет льда;Люблю экзотику;Мятный травяной чай
23.06.2026 21:47:10;Спокойное;Удивил;Обязательно;Умеренно сладкий;Растительное (миндальное, овсяное, кокосовое, соевое и т.п.);Средний (200-350 мл);Ореховые ноты;Травяной;Совсем без газа;Нет льда;Люблю экзотику;Мятный травяной чай
23.06.2026 22:00:58;Спокойное;Остудил;Обязательно;Умеренно сладкий;Обычное;Большой (более 350 мл);Ореховые ноты;Чёрный;Да, сильно газированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 22:00:58;Спокойное;Остудил;Обязательно;Умеренно сладкий;Обычное;Большой (более 350 мл);Ореховые ноты;Молочный улун;Да, сильно газированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 22:00:58;Уютное;Остудил;Обязательно;Сладкий;Обычное;Большой (более 350 мл);Ореховые ноты;Молочный улун;Да, сильно газированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Освежающий лимонад
23.06.2026 22:08:47;Бодрящее;Удивил;Желательно, но не принципиально;Умеренно сладкий;Обычное;Средний (200-350 мл);Ягодные ноты;Зелёный;Да, сильно газированный;Мало льда;Люблю экзотику;Ягодный фреш
23.06.2026 22:08:47;Бодрящее;Удивил;Желательно, но не принципиально;Сладкий;Обычное;Средний (200-350 мл);Ягодные ноты;Молочный улун;Слабогазированный;Мало льда;Люблю экзотику;Ягодный фреш
23.06.2026 22:08:47;Бодрящее;Удивил;Желательно, но не принципиально;Сладкий;Обычное;Средний (200-350 мл);Ягодные ноты;Зелёный;Слабогазированный;Мало льда;Люблю экзотику;Ягодный фреш
23.06.2026 22:19:39;Уютное;Удивил;Не желательно;Сладкий;Без молока;Средний (200-350 мл);Ягодные ноты;Чёрный;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
23.06.2026 22:19:39;Уютное;Удивил;Не желательно;Сладкий;Без молока;Средний (200-350 мл);Ягодные ноты;Зелёный;Слабогазированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
23.06.2026 22:19:39;Уютное;Удивил;Не желательно;Сладкий;Без молока;Средний (200-350 мл);Ягодные ноты;Травяной;Да, сильно газированный;Мало льда;Скорее придерживаюсь классики, но иногда пробую новинки;Ягодный фреш
24.06.2026 8:08:44;Бодрящее;Остудил;Желательно, но не принципиально;Умеренно сладкий;Без молока;Большой (более 350 мл);Ягодные ноты;Зелёный;Слабогазированный;Много льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
24.06.2026 8:08:44;Бодрящее;Остудил;Желательно, но не принципиально;Сладкий;Без молока;Большой (более 350 мл);Ягодные ноты;Чёрный;Слабогазированный;Много льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
24.06.2026 8:08:44;Бодрящее;Остудил;Желательно, но не принципиально;Сладкий;Без молока;Большой (более 350 мл);Ягодные ноты;Молочный улун;Слабогазированный;Много льда;Скорее придерживаюсь классики, но иногда пробую новинки;Манго-маракуйя лимонад
